dateTime,value
03/07/2023 00:00, 
03/07/2023 00:00,3.049
03/07/2023 00:15,3.032
03/07/2023 00:30,3.01
03/07/2023 00:45,2.987
03/07/2023 01:00,2.971
03/07/2023 01:15,2.95
03/07/2023 01:30,2.929
03/07/2023 01:45,2.911
03/07/2023 02:00,2.89
03/07/2023 02:15,2.868
03/07/2023 02:30,2.85
03/07/2023 02:45,2.828
03/07/2023 03:00,2.815
03/07/2023 03:15,2.798
03/07/2023 03:30,2.787
03/07/2023 03:45,2.777
03/07/2023 04:00,2.779
03/07/2023 04:15,2.783
03/07/2023 04:30,2.798
03/07/2023 04:45,2.825
03/07/2023 05:00,2.866
03/07/2023 05:15,2.908
03/07/2023 05:30,2.955
03/07/2023 05:45,2.999
03/07/2023 06:00,3.034
03/07/2023 06:15,3.077
03/07/2023 06:30,3.117
03/07/2023 06:45,3.143
03/07/2023 07:00,3.158
03/07/2023 07:15,3.18
03/07/2023 07:30,3.193
03/07/2023 07:45,3.198
03/07/2023 08:00,3.201
03/07/2023 08:15,3.197
03/07/2023 08:30,3.194
03/07/2023 08:45,3.191
03/07/2023 09:00,3.178
03/07/2023 09:15,3.164
03/07/2023 09:30,3.147
03/07/2023 09:45,3.135
03/07/2023 10:00,3.107
03/07/2023 10:15,3.092
03/07/2023 10:30,3.076
03/07/2023 10:45,3.065
03/07/2023 11:00,3.045
03/07/2023 11:15,3.032
03/07/2023 11:30,3.016
03/07/2023 11:45,2.999
03/07/2023 12:00,9
03/07/2023 12:15,9
03/07/2023 12:30,9
03/07/2023 12:45,9
03/07/2023 13:00,9
03/07/2023 13:15,9
03/07/2023 13:30,9
03/07/2023 13:45,2.846
03/07/2023 14:00,2.827
03/07/2023 14:15,2.808
03/07/2023 14:30,2.784
03/07/2023 14:45,2.775
03/07/2023 15:00,2.756
03/07/2023 15:15,2.737
03/07/2023 15:30,2.727
03/07/2023 15:45,2.72
03/07/2023 16:00,2.736
03/07/2023 16:15,2.774
03/07/2023 16:30,2.83
03/07/2023 16:45,2.9
03/07/2023 17:00,2.971
03/07/2023 17:15,3.037
03/07/2023 17:30,3.093
